sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
lyase_1_500_1 1 0.7930864197530865 0.8015972048914399 0.20691358024691353 0.19840279510856007 (naive) 1.015655577299413 0.6341948310139165 325.9223 0:05:25 8444.73 123594.33 8100.41 8219.83 1.98 7.53 181.50 639.19
ldh_20_1 1 0.7319534849703796 0.7250072442770211 0.2680465150296204 0.2749927557229789 (naive) 0.9973045822102425 0.2648648648648649 470.1398 0:07:50 8331.60 123525.95 7999.98 8105.92 1.99 5.23 189.79 974.50
myb_DNA-binding_500_3 1 0.9438877755511023 0.9326732673267327 0.05611222444889774 0.06732673267326728 (naive) 1.0 0.7857142857142857 161.7189 0:02:41 6434.29 123599.84 6091.60 6205.36 1.98 6.35 96.99 213.73
egf_500_2 1 0.7734465457352374 0.7684049079754601 0.2265534542647626 0.23159509202453987 (naive) 1.0422535211267605 0.36764705882352944 155.8202 0:02:35 6392.64 123599.75 6049.02 6212.29 1.98 5.95 124.01 271.00
aat_50_3 1 0.8028433791563858 0.7977816695855224 0.19715662084361418 0.20221833041447757 (naive) 1.0252100840336134 0.48337028824833705 427.6452 0:07:07 9031.71 113451.97 8823.30 8916.09 297.99 5.35 176.31 735.03
rhv_200_1 1 0.22354509953328888 0.448585626911315 0.7764549004667112 0.551414373088685 (naive) 2.0085470085470085 0.04338153503893215 228.6290 0:03:48 7141.45 123589.95 6797.13 6884.18 1.99 5.58 143.64 418.93
sodfe_100_2 1 0.9074143771170493 0.9033345822405395 0.09258562288295069 0.09666541775946047 (naive) 0.9908675799086758 0.6555023923444976 217.5233 0:03:37 6592.17 123597.38 6262.71 6418.83 1.99 5.56 157.11 411.32
kringle_1000_2 1 0.9282415630550621 0.9197465681098205 0.07175843694493789 0.08025343189017953 (naive) 1.02 0.7191011235955056 180.3750 0:03:00 6622.48 123592.76 6277.67 6360.81 1.97 7.66 124.87 256.60
rvp_50_2 1 0.7280108254397835 0.7202141900937081 0.27198917456021654 0.27978580990629187 (naive) 1.0 0.2972972972972973 232.1640 0:03:52 6603.89 123532.85 6259.82 6369.80 1.99 5.28 171.99 473.81
DMRL_synthase_100_1 1 0.9044368600682594 0.8769027134348114 0.09556313993174059 0.12309728656518859 (naive) 0.9505494505494505 0.7041420118343196 220.8446 0:03:40 6866.93 123533.11 6522.46 6686.13 1.99 5.27 161.97 410.25
LIM_50_3 1 0.9854838709677419 0.9854838709677419 0.014516129032258074 0.014516129032258074 (naive) 1.0 0.9024390243902439 207.6179 0:03:27 6451.61 123528.81 6106.68 6189.87 1.99 5.48 160.20 418.28
int_200_3 1 0.8674832962138085 0.8767585818795723 0.13251670378619151 0.12324141812042766 (naive) 1.0273972602739727 0.6831683168316832 209.1301 0:03:29 7119.77 123596.93 6775.27 6863.50 1.99 5.81 161.54 393.90
biotin_lipoyl_50_3 1 0.9451029320024953 0.9305896805896806 0.05489706799750471 0.06941031941031939 (naive) 0.9553571428571429 0.7529411764705882 273.7966 0:04:33 6501.57 110967.03 6158.14 6272.63 165.99 5.06 117.77 323.42
tms_200_1 1 0.963615472998851 0.96140619029423 0.036384527001149025 0.03859380970576998 (naive) 1.0028011204481793 0.8666666666666667 292.9530 0:04:52 8158.24 123464.77 7815.11 7978.25 1.99 7.48 192.53 609.19
OTCace_500_2 1 0.9528239202657808 0.9582358837287003 0.04717607973421922 0.04176411627129972 (naive) 1.0142857142857142 0.8783382789317508 225.9018 0:03:45 7099.62 123661.20 6754.26 6918.61 1.98 6.46 121.20 295.74
tRNA-synt_2b_200_3 1 0.5389025389025389 0.5077160493827161 0.4610974610974611 0.4922839506172839 (naive) 0.8886509635974305 0.26744186046511625 257.0798 0:04:17 7179.55 123651.75 6851.53 6957.18 257.99 6.08 124.02 335.45
subt_20_1 1 0.7039928156949433 0.6920882852292021 0.2960071843050567 0.30791171477079793 (naive) 1.0338164251207729 0.24489795918367346 563.9417 0:09:23 8145.82 123597.14 7800.47 7914.96 1.99 5.35 211.84 1291.68
rub_50_0 1 0.9755102040816327 0.9755102040816327 0.024489795918367308 0.024489795918367308 (naive) 1.0 0.8888888888888888 200.1362 0:03:20 6405.30 123591.71 6061.30 6224.79 1.99 5.16 124.50 348.60
HMG_box_50_0 1 0.7025495750708215 0.7015558698727016 0.2974504249291785 0.2984441301272984 (naive) 1.0224719101123596 0.2345679012345679 216.6549 0:03:36 6496.37 123661.03 6171.66 6323.24 1.99 5.21 141.01 381.57
subt_100_2 1 0.7863360044211108 0.7910904162902217 0.21366399557888915 0.2089095837097783 (naive) 1.0579710144927537 0.31887755102040816 370.1612 0:06:10 8453.46 123596.88 8107.24 8192.04 1.99 5.50 178.30 749.29
rrm_1000_1 1 0.8328077920257866 0.8137066958784062 0.1671922079742134 0.18629330412159384 (naive) 0.9554140127388535 0.17117117117117117 179.5502 0:02:59 6601.37 123592.76 6256.36 6366.56 1.96 7.55 132.41 292.22
aadh_100_0 1 0.8193372246281303 0.8367464666858956 0.1806627753718697 0.16325353331410442 (naive) 1.0498154981549817 0.4489795918367347 338.2331 0:05:38 7721.05 123655.84 7376.19 7539.81 1.99 5.66 184.16 696.77
hormone_rec_20_2 1 0.5774326176336226 0.5474231268947596 0.42256738236637736 0.4525768731052404 (naive) 0.974025974025974 0.29537366548042704 448.1407 0:07:28 7376.12 123650.09 7030.88 7140.39 25.99 5.36 181.39 829.26
tgfb_1000_3 1 0.8232067510548523 0.8764600179694519 0.1767932489451477 0.12353998203054806 (naive) 1.1440677966101696 0.3247863247863248 183.9849 0:03:03 6758.23 123658.47 6413.96 6578.23 1.98 7.36 130.84 293.07
hr_20_2 1 0.9971428571428571 1.0 0.0028571428571428914 0.0 (naive) 1.0121951219512195 0.9873417721518988 251.9026 0:04:11 6497.76 123597.76 6153.01 6263.29 1.99 5.11 151.49 452.43
phc_20_3 1 0.6897266729500471 0.7193551558045808 0.3102733270499529 0.28064484419541924 (naive) 1.094972067039106 0.3575418994413408 333.5074 0:05:33 6955.92 123590.22 6621.59 6778.62 1.99 5.18 182.04 682.28
