sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
lyase_1_500_1 1 0.8066666666666666 0.8090638930163447 0.19333333333333336 0.19093610698365526 (naive) 1.0019569471624266 0.610337972166998 441.5122 0:07:21 7439.61 123600.36 7051.68 7176.86 1.99 5.32 201.66 941.52
ldh_20_1 1 0.8052000292547357 0.791281848564344 0.19479997074526434 0.20871815143565597 (naive) 0.9730458221024259 0.41621621621621624 491.4529 0:08:11 6154.17 123604.71 5766.10 5873.40 1.99 3.46 210.92 1063.26
myb_DNA-binding_500_3 1 0.9438877755511023 0.9326732673267327 0.05611222444889774 0.06732673267326728 (naive) 1.0 0.7857142857142857 135.5458 0:02:15 5952.71 123599.45 5564.25 5658.35 1.99 4.69 100.92 205.43
egf_500_2 1 0.798533384793516 0.7857956703380174 0.201466615206484 0.21420432966198255 (naive) 1.056338028169014 0.36764705882352944 126.2324 0:02:06 5859.33 123476.68 5833.15 5839.33 1.98 4.39 118.91 217.89
aat_50_3 1 0.8181177299964751 0.8095570282525287 0.18188227000352486 0.19044297174747127 (naive) 1.0084033613445378 0.49002217294900224 444.0739 0:07:24 6775.16 123602.03 6387.18 6512.58 1.99 3.83 215.32 998.00
rhv_200_1 1 0.31755405276693016 0.42721681189133776 0.6824459472330698 0.5727831881086622 (naive) 1.375 0.03670745272525028 234.1076 0:03:54 6512.59 123537.82 6123.86 6218.90 1.99 3.68 199.10 560.82
sodfe_100_2 1 0.9008280015054573 0.8896115963575544 0.09917199849454272 0.11038840364244562 (naive) 1.0091324200913243 0.631578947368421 197.5682 0:03:17 5637.89 123536.29 5611.71 5617.91 1.99 3.59 174.28 402.48
kringle_1000_2 1 0.9378330373001776 0.9292502639915523 0.06216696269982236 0.0707497360084477 (naive) 1.03 0.7415730337078652 144.1226 0:02:24 5640.23 123539.19 5615.48 5621.69 1.99 5.31 133.67 258.69
rvp_50_2 1 0.6887686062246279 0.6813922356091031 0.3112313937753721 0.3186077643908969 (naive) 0.9924242424242424 0.1981981981981982 195.8149 0:03:15 5427.10 123671.07 5400.80 5407.12 1.99 3.52 163.96 432.01
DMRL_synthase_100_1 1 0.9235494880546075 0.9001996007984032 0.07645051194539254 0.09980039920159678 (naive) 0.945054945054945 0.727810650887574 203.2810 0:03:23 5735.02 123600.31 5346.40 5440.79 1.99 4.18 174.54 440.96
LIM_50_3 1 0.9661290322580646 0.9724025974025974 0.03387096774193543 0.02759740259740262 (naive) 1.0116279069767442 0.8658536585365854 178.7044 0:02:58 5331.33 123537.81 4942.86 5037.63 1.99 4.07 153.73 376.62
int_200_3 1 0.893652561247216 0.9006734006734006 0.10634743875278396 0.09932659932659937 (naive) 1.0273972602739727 0.7425742574257426 210.9817 0:03:30 6427.59 123546.11 6038.44 6132.94 1.99 3.83 178.21 448.06
biotin_lipoyl_50_3 1 0.8995633187772926 0.9040752351097179 0.10043668122270744 0.09592476489028212 (naive) 1.0267857142857142 0.6 191.0393 0:03:11 5388.85 123536.37 5001.04 5186.21 1.99 3.56 149.37 370.99
tms_200_1 1 0.9705093833780161 0.9668065623807707 0.029490616621983934 0.03319343761922933 (naive) 0.9971988795518207 0.8771929824561403 306.6204 0:05:06 7399.97 123543.23 7374.67 7381.02 1.99 4.16 188.36 655.03
OTCace_500_2 1 0.9541528239202658 0.9589315525876461 0.04584717607973421 0.04106844741235394 (naive) 1.0114285714285713 0.8635014836795252 221.5910 0:03:41 7113.98 123537.80 6725.65 6911.92 1.99 4.66 159.91 397.02
tRNA-synt_2b_200_3 1 0.5638820638820639 0.5431952662721894 0.43611793611793614 0.4568047337278106 (naive) 0.9207708779443254 0.2616279069767442 248.3915 0:04:08 6690.14 123600.23 6664.18 6670.39 1.99 4.10 171.74 500.91
subt_20_1 1 0.5186515612047526 0.5343772241992882 0.48134843879524736 0.46562277580071176 (naive) 1.0942028985507246 0.030612244897959183 663.2020 0:11:03 6069.80 123536.45 5683.45 5801.68 1.99 4.09 221.63 1578.63
rub_50_0 1 0.9836734693877551 0.9836734693877551 0.01632653061224487 0.01632653061224487 (naive) 1.0 0.9259259259259259 163.8146 0:02:43 5296.37 123537.75 4908.01 5002.28 1.99 3.58 131.10 258.56
HMG_box_50_0 1 0.9135977337110481 0.9046283309957924 0.08640226628895187 0.09537166900420757 (naive) 1.0 0.691358024691358 183.0614 0:03:03 5382.79 123604.63 4994.39 5119.77 1.99 3.55 154.00 352.21
subt_100_2 1 0.7808786957723128 0.7796399751707014 0.21912130422768716 0.22036002482929862 (naive) 1.070048309178744 0.3086734693877551 417.3561 0:06:57 7070.79 123607.35 6701.53 6828.94 1.99 4.78 212.61 952.34
rrm_1000_1 1 0.8698059000770794 0.8620737551218834 0.13019409992292064 0.13792624487811656 (naive) 1.0254777070063694 0.21621621621621623 149.1742 0:02:29 6427.75 123603.16 6039.04 6134.17 1.97 6.28 131.01 253.91
