msa_name	lddt_foldmason	lddt_foldmason_core	lddt_muscle
msb	0.667053	0.821839	0.6982
subt	0.640863	0.860597	0.7841
rnasemam	0.764372	0.872234	0.7916
peroxidase	0.767982	0.876044	0.7986
Rhodanese	0.578939	0.776379	0.6754
sodfe	0.812149	0.890199	0.8243
profilin	0.779349	0.889797	0.8193
DEATH	0.488048	0.749339	0.6127
tim	0.883054	0.913870	0.8517
DMRL_synthase	0.762310	0.884816	0.8072
egf	0.572885	0.772406	0.6694
ghf22	0.902957	0.928180	0.8758
HMG_box	0.690208	0.812078	0.7087
biotin_lipoyl	0.559513	0.781851	0.6632
blm	0.864019	0.905778	0.8363
flav	0.788960	0.865966	0.7959
cah	0.808677	0.886563	0.8222
asp	0.786347	0.885310	0.8071
aadh	0.666034	0.871820	0.7943
rub	0.909829	0.941949	0.9155
tRNA-synt_2b	0.504873	0.777733	0.6913
Acetyltransf	0.573066	0.814696	0.7269
proteasome	0.635285	0.837466	0.7361
ghf5	0.515996	0.750270	0.6317
blmb	0.550453	0.785545	0.6847
Ald_Xan_dh_2	0.757045	0.861932	0.7781
TNF	0.733196	0.880541	0.8143
ltn	0.774551	0.928612	0.8802
ghf11	0.837038	0.910558	0.8629
GEL	0.619677	0.764350	0.6605
ldh	0.745247	0.846318	0.7374
annexin	0.928643	0.948615	0.9076
kringle	0.710637	0.852434	0.7685
Stap_Strp_toxin	0.752058	0.848555	0.7577
il8	0.694353	0.801538	0.6764
sti	0.749207	0.865190	0.7842
phc	0.851422	0.898233	0.8277
scorptoxin	0.742925	0.814799	0.7313
LIM	0.656241	0.794551	0.6774
lyase_1	0.777807	0.849284	0.7637
rrm	0.449757	0.804357	0.6879
sdr	0.607346	0.840353	0.7304
gpdh	0.859217	0.903521	0.8345
adh	0.943714	0.946842	0.9056
cyclo	0.763780	0.886248	0.8166
p450	0.644269	0.803388	0.6752
ins	0.619684	0.802388	0.6955
aldosered	0.714658	0.903391	0.8322
ChtBD	0.882840	0.941348	0.9005
aat	0.729644	0.837791	0.7475
ricin	0.818528	0.894084	0.8271
KAS	0.755484	0.846039	0.7587
hla	0.968985	0.968985	0.9419
tgfb	0.762573	0.878779	0.8131
sodcu	0.826171	0.893041	0.8211
mmp	0.845310	0.935525	0.8920
mofe	0.676322	0.830356	0.7373
slectin	0.842653	0.898740	0.8277
hormone_rec	0.622082	0.788451	0.6700
HLH	0.653718	0.812129	0.7160
cyt3	0.724423	0.858432	0.7759
ghf10	0.762131	0.894496	0.8341
int	0.708187	0.812432	0.7142
ghf1	0.710713	0.888026	0.8198
phoslip	0.822726	0.906498	0.8471
uce	0.720118	0.879503	0.7888
az	0.474195	0.811653	0.7129
Sulfotransfer	0.552059	0.787870	0.6746
toxin	0.654077	0.767055	0.6440
PDZ	0.712055	0.844589	0.7440
cys	0.732322	0.907089	0.8471
cryst	0.801016	0.879277	0.7920
trfl	0.778591	0.921219	0.8749
OTCace	0.808776	0.885460	0.8075
gluts	0.822508	0.883979	0.8031
ace	0.753529	0.836324	0.7427
rhv	0.687083	0.821697	0.7102
glob	0.739551	0.862675	0.7690
icd	0.731919	0.894809	0.8298
hom	0.545249	0.890738	0.8085
hr	0.759818	0.836947	0.7401
myb_DNA-binding	0.670653	0.779713	0.6478
hip	0.751352	0.863045	0.7974
oxidored_q6	0.872874	0.948879	0.9156
seatoxin	0.657625	0.755910	0.6265
kunitz	0.787785	0.875116	0.7821
tms	0.671384	0.889617	0.8224
zf-CCHH	0.656978	0.860918	0.7833
cytb	0.753032	0.884760	0.8210
serpin	0.777029	0.871699	0.7771
rvp	0.700918	0.888104	0.8305
